Description	Valence_value	Arousal_value
preserve	6.298	3.6313559322033897
freshstart	7.12	5.52542372881356
ethics	6.132	3.4143220338983054
biochemist	5.069000000000001	4.302627118644068
unending	3.62	4.684237288135593
anagram	4.893000000000001	3.6206779661016952
vantage	6.4350000000000005	4.558050847457627
valiant	7.125	5.911864406779662
freakingout	2.752	7.127118644067798
tally	5.038	3.804745762711865
cookies	7.584	4.432203389830509
planning	8.152000000000001	4.52542372881356
appendix	4.365	3.404915254237288
vicious	2.6470000000000002	6.270762711864407
conditionally	4.168	4.161016949152542
mockery	2.351	5.960338983050848
carp	4.899	3.832966101694915
toughen	5.0169999999999995	5.339152542372881
scheme	4.484	4.229915254237288
blather	3.752	4.686440677966102
unproductive	1.8	3.3559322033898304
farewell	2.7350000000000003	4.523728813559322
tummy	5.2330000000000005	3.7416949152542376
firm	5.720000000000001	4.065254237288135
testicle	4.427	5.763559322033899
misty	4.7780000000000005	3.4661016949152543
comparatively	5.832	3.9237288135593227
minnow	5.328	3.7203389830508478
semantics	5.792	4.079576271186441
complicate	2.9899999999999998	5.563983050847458
unattractive	2.393	3.7559322033898304
woof	5.295999999999999	5.036864406779662
artistry	7.247	4.126186440677966
cheapskate	2.972	3.7474576271186444
undead	3.7880000000000003	5.630762711864406
lamb	6.1193333333333335	3.232316384180791
comics	6.734999999999999	4.866016949152543
efficacious	7.584	6.52542372881356
perverted	2.378	7.644915254237288
quadrangle	4.664	5.601694915254238
steep	4.408	5.373305084745763
invisibility	4.912	4.418474576271187
coup	3.97	6.078474576271186
respond	5.647	3.693305084745763
banished	1.416	6.652542372881356
scale	4.27	3.688135593220339
sounding	6.52	4.8474576271186445
phoenix	6.224	4.686440677966102
scooter	5.25	4.652372881355933
defection	2.168	5.6440677966101696
tropics	6.984999999999999	4.297966101694915
occasion	6.525	4.611101694915254
denim	5.58	3.758728813559322
negligent	2.1929999999999996	5.000423728813559
cracked	2.792	5.016949152542374
eyewitness	4.899	5.576864406779661
abolition	3.5839999999999996	6.4576271186440675
commitment	6.521000000000001	5.443559322033899
sadist	1.7229999999999999	6.694915254237288
hairdryer	5.498666666666666	3.445649717514124
recalcitrant	3.8560000000000003	5.898305084745763
dodge	3.6639999999999997	7.050847457627119
approbation	7.336	5.093220338983051
frontier	5.5169999999999995	4.610593220338984
aircraft carrier	5.085	5.760677966101695
homosexual	4.157	5.445169491525425
heartbreaker	3.44	5.432627118644069
firecracker	5.246	6.779915254237288
collegiate	5.518000000000001	4.7334745762711865
continuum	5.783	3.932627118644068
artist	7.088	4.227966101694915
eject	4.211	5.294745762711864
chaise	4.248	3.5677966101694913
sue	2.466	6.477542372881356
scrupulous	5.36	6.415254237288137
paucity	2.224	4.4491525423728815
chalet	5.662	3.6988983050847457
disease	1.504	5.3389830508474585
variable	5.625	3.8546610169491524
forge	5.08	4.181694915254237
cheesecake	7.775	3.189576271186441
hurdle	3.442	5.219915254237288
diversity	6.794	3.9100847457627124
victim	2.05	5.922994350282486
abrupt	3.224	6.39042372881356
allocate	6.3839999999999995	4.52542372881356
underworld	3.178	5.739491525423729
incomprehensible	3.24	5.135593220338984
bugged	5.488	4.330508474576272
believing	7.96	4.1525423728813555
neglected	3.168	3.8728813559322033
extort	2.303	6.0493220338983065
usefully	6.2	4.686440677966102
cabana	6.3919999999999995	3.5343220338983055
intruder	2.466	6.467118644067797
clatter	4.196999999999999	6.299661016949153
passive	4.6	2.5716101694915254
gathering	7.832000000000001	6.177966101694916
drum	5.984999999999999	5.5172033898305095
disinfectant	5.1739999999999995	3.6028813559322033
backer	5.449	3.6590677966101692
tweak	4.865	4.61271186440678
end table	5.289	3.6889830508474577
ruby	6.547	4.058898305084746
classic rock	6.311	5.114576271186442
tug	4.015	4.864406779661017
thermodynamics	5.08	5.6440677966101696
guts	5.736000000000001	6.110169491525425
prayer	6.3149999999999995	3.2445762711864408
jackal	4.157	5.061186440677966
convict	2.348	6.339406779661017
astonishingly	7.6160000000000005	8.220338983050848
voltmeter	5.792	5.661016949152542
breakneck	3.032	7.669491525423729
faro	5.352	3.5677966101694913
padding	5.369	3.3715254237288135
cactus	4.811	4.050847457627119
psychopath	1.9700000000000002	7.005847457627119
accusing	2.248	6.923728813559323
trundle	5.056	2.898305084745763
frostbite	2.362	5.440254237288135
convenience	7.193999999999999	3.9533898305084745
kit	5.882	3.6027118644067793
count	5.821	3.1033898305084744
blackboard	4.851	3.385593220338983
whiz	7.324	4.921864406779662
reckless	3.093	6.234067796610169
vandal	2.3699999999999997	6.187344632768362
crystalline	7.12	2.601694915254237
ragetweet	4.183999999999999	5.279661016949153
lard	3.983	2.7927966101694914
chiefly	5.8	5.584745762711865
proficient	7.136000000000001	3.9734745762711867
granny	6.539	2.5120338983050847
bombardier	3.825	6.201864406779661
rascal	3.476	5.546610169491526
failure	2.062	5.144350282485876
thunderstruck	2.5519999999999996	6.677966101694915
tofu	4.729	3.2483898305084744
drinks	6.832000000000001	6.169491525423728
sardine	4.784000000000001	3.280084745762712
blotter	4.6899999999999995	3.637796610169491
merengue	6.487	4.229237288135593
intoxicated	1.6320000000000001	7.593220338983052
vertical	5.08	4.104915254237288
antecedent	4.416	5.279661016949153
candle	5.978	3.1465254237288134
recruits	4.168	6.14406779661017
tipper	4.833	4.589576271186441
isomorphism	4.584	3.6694915254237293
choreography	6.723000000000001	6.393050847457627
pennant	5.378	3.515254237288136
shoelace	4.939	3.0565254237288135
tire	4.526999999999999	3.4814406779661016
speedometer	4.416	5.262711864406779
tuck	4.413	4.0093220338983055
teriyaki	6.369	4.2876271186440675
secularism	3.9360000000000004	4.338983050847458
retrace	3.875	4.2224576271186445
prestige	7.278	5.138022598870056
casual	6.0969999999999995	2.754237288135593
corkscrew	4.838	4.062203389830508
righteous	6.792	3.5964406779661013
prompt	6.073	4.077118644067797
tripping	3.208	5.6440677966101696
pointy	4.506	5.338559322033898
tout	5.095	4.874745762711864
dour	3.88	4.033898305084746
heading	5.408	3.084745762711864
adjourn	4.79	3.8122881355932208
brass knuckle	4.2490000000000006	4.822627118644068
relocation	4.399	4.523728813559322
quarterback	5.948	5.17135593220339
excellent	8.16	5.367372881355933
imissyou	4.84	5.76271186440678
unveiling	5.552	5.440677966101695
shareholder	5.364	4.463050847457627
thumping	2.7119999999999997	7.008474576271187
male	6.4030000000000005	4.809322033898305
universal	7.003	4.507033898305085
listneing	5.248	3.7457627118644066
cow	5.194	2.999774011299435
blemish	2.926	5.074491525423729
handbag	5.088	3.2920338983050845
zigzag	4.758	5.582881355932203
shortening	3.2880000000000003	3.4322033898305087
tulip	7.045	2.8059322033898306
deadlock	2.3600000000000003	4.1525423728813555
atom	5.41	4.568728813559322
stagehand	4.56	5.248389830508475
standpoint	5.39	4.0341525423728815
negotiable	6.252	5.093898305084746
continuously	6.752000000000001	4.1440677966101696
laughable	5.973000000000001	5.761864406779662
fab	4.92	3.8305084745762716
load	4.255	4.347033898305085
defector	3.327	5.129237288135593
raffle	5.745	4.991101694915255
spunky	5.859	6.529661016949152
moot	4.186	4.278728813559322
grieved	1.832	4.508474576271187
great grandfather	6.751	3.266271186440678
simulation	5.543	4.652288135593221
shifty	3.645	5.606101694915255
whaling	3.254	4.943220338983052
decrement	3.04	4.228813559322035
invigorate	7.568	7.372881355932203
stupidpeople	1.584	6.330508474576272
maintenance	5.843	3.447372881355932
speeding	4.092	7.222542372881355
sneak	3.789	6.186864406779661
sizzle	5.2780000000000005	5.483135593220339
uneasy	2.3899999999999997	5.078983050847458
expectation	6.6339999999999995	5.478813559322034
marvel	7.263999999999999	5.889237288135593
clauses	4.5920000000000005	4.245762711864407
truncate	3.5839999999999996	5.694915254237288
hardwood	4.993	3.683220338983051
plateau	5.864	3.4840677966101694
statics	5.336	3.0677966101694913
flagrant	3.644	5.611779661016949
amen	7.247999999999999	2.152542372881356
streamer	5.92	5.101694915254238
resurrect	6.829	5.757118644067797
famously	7.848	7.093220338983052
pity	2.9433333333333334	3.9243502824858756
christian	7.08	2.6525423728813564
ragtime	5.101	4.720932203389831
avail	6.41	4.0121186440677965
chardonnay	6.258	4.497627118644068
firelight	6.398	4.230677966101695
crowds	4.752	6.737288135593221
political	4.063	5.398305084745763
echinacea	5.268000000000001	3.9412711864406775
glabrous	4.304	4.627118644067797
bout	3.282	5.563813559322034
entrails	3.645	4.934745762711865
meek	4.679333333333333	2.94045197740113
gown	6.0	3.434237288135593
topless	5.68	6.851610169491526
defect	2.4850000000000003	4.752203389830509
liaison	5.817	3.408050847457627
precursor	5.64	6.305084745762713
motorcade	5.651999999999999	5.733305084745763
resource	6.275	3.6727966101694918
reiterate	4.638	4.026101694915255
heretofore	4.832	3.898305084745762
flaw	3.8259999999999996	4.305593220338983
estuary	4.752	2.9661016949152543
wanting	7.08	4.279661016949152
chemical	4.293	4.382966101694915
plan	6.154	4.523220338983051
pubic	4.489000000000001	5.340338983050847
job	6.096	4.5974576271186445
calisthenics	5.273	5.054406779661017
camouflaged	3.8	4.186440677966102
bunkhouse	5.195	4.009322033898305
partition	4.96	3.8423728813559324
goodmusic	7.047999999999999	4.8474576271186445
memories	7.728000000000001	5.00909604519774
attentive	6.963	4.693474576271187
cooperative	7.074	3.9734745762711867
mechanics	5.668	4.378728813559322
inspire	7.578	5.607909604519773
resuscitate	5.449	5.564237288135594
splinter	2.6189999999999998	4.343220338983051
civilization	6.8919999999999995	4.070338983050847
discrepancy	3.255	4.904661016949152
delude	2.882	4.936864406779661
magnification	7.385000000000001	5.101016949152543
diameter	4.588	3.5877966101694914
bust	4.965	5.323728813559322
scallop	4.92	3.686440677966102
stuckup	3.248	4.677966101694915
carter	3.496	4.677966101694915
lag	3.33	3.8940677966101696
simulating	5.416	4.52542372881356
fuming	2.92	6.203389830508475
fraught	3.034	5.270169491525424
undersea	5.87	4.606355932203391
cornball	5.191	3.491779661016949
patronising	4.5120000000000005	4.466101694915254
sentimentality	6.584	4.402118644067796
philosopher	6.551	3.4990677966101695
treatment	5.651999999999999	4.175677966101695
exquisite	7.833	5.328898305084746
fob	3.616	4.016949152542373
certain	6.595000000000001	3.3220338983050848
boundless	6.472	6.050847457627119
chunk	4.295	3.521186440677966
extrajudicial	3.92	6.423728813559322
pox	2.75	4.9076271186440685
seared	2.832	4.084745762711864
cha cha	6.616	5.483644067796611
melancholy	3.122	3.4717796610169493
counsellor	7.584	3.38135593220339
bearing	5.5680000000000005	3.7203389830508478
rectal	3.3259999999999996	5.128728813559322
figure	5.797	3.529915254237288
prude	3.393	3.702372881355932
upshot	6.544	4.76271186440678
sugar	7.156	4.925819209039548
curtain	5.9719999999999995	3.293050847457627
deal	6.446	4.793220338983051
acquiescence	5.336	4.677966101694915
enlarge	6.105	4.807881355932204
replenish	6.41	3.478813559322034
intimately	7.4479999999999995	5.466101694915254
rawr	4.656000000000001	5.991525423728814
unlawful	2.241	5.751186440677966
siphon	3.832	3.4322033898305087
work	5.901	4.995508474576271
accusation	2.482	6.087457627118644
ritual	4.26	4.558474576271187
masterpiece	7.773999999999999	5.294915254237289
realism	6.58	4.754406779661018
loveee	8.416	5.627118644067798
baffled	2.208	5.694915254237288
dove	6.8773333333333335	3.2205649717514127
ramrod	4.409000000000001	3.8388983050847454
hobbit	5.556	4.502118644067797
morass	4.096	3.5593220338983054
usurped	3.336	7.220338983050849
pyrotechnics	5.488	7.567796610169491
plunge	4.038	5.5288135593220336
ball	6.529999999999999	3.8544067796610175
drinking	5.496	4.5
frail	3.295	3.0411016949152545
sheepdog	6.436	4.132966101694915
sturdy	5.915	4.6604237288135595
blameless	6.261	3.0055932203389832
enduring	6.367	3.9299999999999997
prejudiced	2.79	5.398389830508474
enable	6.105	4.360593220338983
slight trust	3.448	4.0
zoning	4.493	3.885
prong	3.9360000000000004	2.6779661016949152
riches	7.821333333333333	6.027175141242938
metal	5.136	3.838587570621469
rampart	4.288	4.4834745762711865
conciliation	7.336	4.635593220338984
fixtures	6.144	3.406779661016949
roadie	5.1850000000000005	5.018389830508475
socialize	7.103	5.749152542372881
appurtenances	5.584	4.101694915254238
recast	3.9360000000000004	4.686440677966102
stomachache	1.7000000000000002	6.066864406779661
strategic	6.929	5.465084745762712
pursue	4.8629999999999995	5.847881355932204
skepticism	3.566	4.988983050847457
aglow	6.54	4.881101694915254
gyroscope	5.0	3.915254237288136
numbness	3.448	3.983050847457627
slug	3.184	4.3228813559322035
disprove	3.95	5.103389830508474
dismemberment	1.832	7.898305084745763
buildings	5.656000000000001	3.8305084745762716
racket	4.555	3.9785593220338984
advantage	7.332000000000001	4.6547457627118645
halfway	5.08	2.7627118644067794
blistering	3.996	4.521101694915254
fronting	5.0	4.677966101694915
diversionary	4.914	4.552372881355932
circuitry	5.084	4.576016949152542
rouser	4.84	5.186440677966102
analysis	6.041	4.073389830508475
dusk	5.443	3.234576271186441
hectic	2.5679999999999996	5.966525423728814
almighty	7.327	6.303474576271187
strapless	4.581	4.88771186440678
treasures	7.936	7.1440677966101696
remedy	6.3100000000000005	3.6692372881355935
scarab	4.248	4.491525423728813
gruel	3.768	3.593220338983051
scout	6.124	5.154067796610169
dip	5.274	4.4504237288135595
nudity	5.492	6.994491525423729
dispersal	4.507	4.668389830508475
humiliation	1.827	6.037033898305085
attendance	6.723000000000001	4.543728813559323
probing	3.955	4.546610169491526
nightcap	6.109999999999999	3.135593220338983
lamp	5.41	3.1078531073446327
indispensable	6.525	4.2826271186440685
barbarism	2.52	7.516949152542373
prophecy	6.298	5.427288135593221
registry	5.132	3.421016949152542
stopover	4.8740000000000006	3.4056779661016954
disrespectful	1.979	5.570762711864408
neonatal	5.336	5.093220338983051
added	5.496	4.0423728813559325
appalling	2.615	6.559322033898306
chant	5.744	4.90771186440678
weeping willow	5.141	4.023728813559322
steamer	4.995	4.042966101694915
blues	4.091	3.0422881355932203
selfishness	2.7750000000000004	5.496864406779661
swing	6.383	4.516101694915254
interworking	5.416	5.584745762711865
proclaim	6.066000000000001	5.576779661016949
resigned	2.92	2.0508474576271185
concubine	3.8169999999999993	5.487033898305085
ownership	5.936999999999999	4.395677966101696
tradition	6.865	4.432118644067797
stubbornness	2.9290000000000003	5.526779661016949
famine	2.6270000000000002	6.232203389830509
graphic	5.458	4.748305084745763
circus	6.647333333333333	5.809491525423728
urban	5.219	4.747372881355933
dragonfly	6.009	3.8155932203389833
furnishings	5.993	2.6650847457627123
gentry	5.465	3.6239830508474578
flamingo	6.538	4.511101694915254
raiment	6.336	4.016949152542373
child	7.525333333333333	5.129491525423729
moment	5.897333333333333	4.058870056497175
gauging	4.84	4.533898305084746
stranger	3.865	5.107627118644068
virulence	1.752	5.127118644067797
stout	5.769	4.763983050847458
spiral	5.66	5.4491525423728815
ideal	7.023	4.0467796610169495
wishmeluck	6.832000000000001	5.542372881355933
khan	4.704	4.64406779661017
exception	5.0009999999999994	5.022457627118644
valance	4.721	3.381949152542373
grouse	4.157	4.029237288135594
fend	5.494	5.772542372881356
scar	3.086	5.395819209039548
interrelated	5.92	4.584745762711864
checkpoint	5.0040000000000004	4.008728813559322
snowmageddon	4.0	5.483050847457627
phosphor	4.504	4.677966101694915
cess	4.416	3.788135593220339
cogent	7.12	4.669491525423729
totality	6.504	4.364406779661016
awning	5.395	2.543220338983051
schoolgirl	6.495	4.94271186440678
absent	3.258	3.1015254237288135
ape	5.297	4.078389830508474
hellhole	2.35	6.076016949152542
descending	2.752	4.788135593220339
fjord	5.305	3.6119491525423726
decathlon	5.127	5.745762711864407
commend	7.624	4.860762711864408
gratuitous	6.88	6.118644067796611
gaff	3.777	4.0262711864406775
tod	4.752	3.406779661016949
unsatisfied	2.705	4.927881355932204
model	6.118	3.899152542372881
mica	5.248	2.7288135593220337
bees	4.612000000000001	6.010508474576272
example	5.118	3.508050847457627
beating	2.224	7.669491525423729
golfing	5.775	3.669406779661017
snip	4.328	4.060677966101695
repurchase	5.248	5.627118644067798
powwow	5.33	5.439322033898305
quay	5.336	2.3813559322033897
wrath	2.251	7.127542372881356
scifi	5.736000000000001	5.440677966101695
annihilate	2.535	7.414915254237288
spoke	6.08	4.279661016949152
scorned	1.496	5.093220338983051
incidental	4.219	4.524830508474577
heavy	3.89	4.053813559322034
shivering	1.976	6.228813559322034
collation	5.16	3.4322033898305087
hew	4.336	4.593220338983051
litigator	3.976	5.189576271186441
asthma	2.5170000000000003	4.881355932203389
paramount	7.167999999999999	5.822033898305085
marvelous	7.897	4.889237288135593
doghouse	4.802	3.4120338983050846
teaching	7.5760000000000005	4.372881355932203
clicker	4.832	4.19135593220339
bimonthly	4.263999999999999	3.1355932203389827
sulk	3.1100000000000003	4.41271186440678
wreckage	2.518	4.655847457627118
bureaucracy	3.64	4.6242372881355935
smash	3.62	6.1172881355932205
voice	6.1259999999999994	3.3834745762711864
girth	4.905	3.9958474576271183
abduction	2.102	6.62
retriever	4.965999999999999	4.558728813559322
landscape	6.876	2.9258474576271185
naked	5.378	6.496723163841807
weirdo	3.7870000000000004	5.038983050847458
bestdayever	7.08	6.084745762711864
exchange	6.41	5.096101694915254
barrier	4.067	4.688983050847458
bossy	2.8899999999999997	6.136610169491526
allow	6.487	3.5978813559322034
clasp	4.8870000000000005	3.6540677966101693
colonial	5.186999999999999	3.045677966101695
clearing	6.44	3.4322033898305087
august	6.216	3.084745762711864
unadulterated	5.56	4.169491525423729
keystone	5.584	4.322033898305085
influence	5.753	5.264406779661017
roach	2.236	5.859322033898304
catfish	4.952	3.863050847457627
soangry	3.616	6.118644067796611
cartouche	4.416	4.491525423728813
gelding	4.536999999999999	4.303474576271187
privy	5.042	3.963220338983051
soda/pop	6.149	4.517372881355932
billion	6.776	5.414915254237288
orphanage	2.7110000000000003	3.725254237288136
surcharge	4.0	5.084745762711865
specialty	6.136000000000001	4.184745762711865
sporting	7.288	5.284745762711864
impostor	2.7750000000000004	5.58813559322034
expulsion	2.52	5.977542372881357
stead	5.364000000000001	2.591864406779661
venomous	2.5860000000000003	7.47364406779661
nanny	5.890000000000001	3.897881355932203
resonator	4.752	5.76271186440678
knockout	4.526999999999999	6.4592372881355935
nipper	4.759	4.303220338983051
typo	3.4459999999999997	4.063559322033898
server	5.7989999999999995	3.6685593220338983
menagerie	5.584	4.677966101694915
flow	6.124	3.4990677966101695
polity	3.144	5.5508474576271185
sacrificial	2.8920000000000003	6.474237288135594
addendum	4.136	3.7457627118644066
confiscate	3.295	5.793389830508475
montage	4.992	4.933474576271187
lung	4.96	2.862372881355932
approving	8.336	5.5508474576271185
psychobabble	4.032	4.9809322033898304
overthinker	4.4399999999999995	5.7457627118644075
significance	6.885	4.254237288135593
some disgust	1.752	6.177966101694916
ought	4.752	3.9703389830508478
ruse	4.504	4.806949152542373
kilo	4.397	3.4520338983050847
banshee	3.9219999999999997	5.244152542372881
forego	4.529	5.2709322033898305
reconstructive	5.409	4.551440677966102
parson	5.664	2.7288135593220337
nuisance	2.951333333333333	5.574632768361582
venue	6.093	3.7340677966101694
craps	4.0	4.169491525423729
bodily	5.246	4.198220338983051
pied	5.752	4.279661016949152
piss	3.2809999999999997	4.6327118644067795
aerodynamics	5.72	6.228813559322034
devastation	2.315	6.875593220338984
dynasty	5.98	5.021610169491526
difference	4.840999999999999	4.252966101694915
bring	5.88	4.399237288135593
desolate	2.391	3.2710169491525427
delegate	5.523	4.245593220338983
lobster	5.9990000000000006	4.148559322033899
honeymoon	8.181000000000001	6.132966101694915
barks	4.416	6.491525423728815
endurance	6.298	6.261864406779662
facet	6.336	3.3559322033898304
continent	5.729	3.5055932203389832
infringement	2.224	7.389830508474577
agnostic	3.448	3.9661016949152543
vengeful	2.18	6.434406779661018
roe	4.55	3.9437288135593223
intrinsic	4.248	4.601694915254238
transition	5.635	4.507203389830509
ketchup	5.951333333333333	3.804858757062147
abyss	3.862	5.8021186440677965
bat	4.201	4.323135593220339
salsa	6.468	5.128728813559322
ravishing	7.1850000000000005	6.9047457627118645
clockwork	5.25	4.000593220338983
wolverine	5.074999999999999	5.741779661016949
papa	6.624	3.945762711864407
ambiguous	4.140000000000001	4.26271186440678
interval	5.0649999999999995	3.2234745762711867
obtuse	3.248	4.508474576271187
donation	7.168	3.9915254237288136
cache	5.183	3.8496610169491525
heroism	7.401	6.6833898305084745
scoreboard	5.868	4.65093220338983
snap	4.086	4.205762711864407
itch	3.331	5.389830508474576
proportions	6.0	4.254237288135593
excitement	7.762666666666667	6.7622598870056505
nerve	3.241	5.89771186440678
legislative	6.064	3.703389830508475
gentleman	7.542	4.235254237288135
decrepit	2.649	4.79635593220339
stash	4.496	5.294576271186441
flattery	5.25	5.291525423728814
almond	6.317	2.525508474576271
contractor	5.218	4.464745762711864
unanimously	6.4879999999999995	3.4322033898305087
sitter	5.568999999999999	3.4878813559322035
preview	5.994	3.5830508474576273
undermine	3.2889999999999997	4.490593220338983
phobia	3.032	7.420593220338984
aggressor	2.484	7.597033898305085
talons	3.56	6.52542372881356
narration	5.976	4.067796610169491
exalt	6.247999999999999	6.966101694915254
threatened	1.416	8.474576271186441
microchip	5.504	3.5820338983050846
recourse	4.798	3.8080508474576273
uprising	4.909000000000001	6.422457627118645
investor	6.386	4.775508474576272
metaphysical	5.76	4.733050847457627
reform	5.149	4.77135593220339
comprehend	7.285	3.8216949152542377
modest	6.419999999999999	2.873954802259887
addictive	3.468	5.609152542372882
cigar	3.9240000000000004	4.401949152542373
contingency	4.4190000000000005	4.033728813559322
enslavement	1.688	5.991525423728814
god	7.038	5.503333333333334
serviceable	7.672000000000001	4.0
squatter	4.12	3.6694915254237293
averseness	3.3680000000000003	5.7457627118644075
summer	7.498	4.625593220338983
giver	6.821999999999999	3.9785593220338984
trail	5.975	3.669491525423729
reenactment	6.308999999999999	4.883559322033898
spelling	5.7509999999999994	3.627796610169492
hilt	4.659000000000001	4.734322033898305
refrigerate	6.08	3.6355932203389836
hardy	5.5680000000000005	5.432203389830509
foiled	2.88	4.593220338983051
harass	2.615	6.638983050847457
sanctity	6.2989999999999995	3.5983898305084745
hayride	6.079000000000001	4.41771186440678
supernatant	5.0	4.8474576271186445
sinner	3.073	5.8213559322033905
tombstone	2.886	4.603728813559322
chance	6.577999999999999	4.986553672316384
vary	4.834	3.680593220338983
pants	6.002	3.5610169491525423
resent	2.8746666666666663	4.6055367231638416
explode	3.798	6.715084745762712
ten	5.328	2.9567796610169497
thrifty	5.832	3.8305084745762716
firehouse	5.4559999999999995	5.589576271186441
handful	5.309	4.258220338983051
ruffle	4.867	4.502203389830509
overslept	4.263999999999999	3.2796610169491522
skylight	6.731999999999999	3.6105932203389832
dumfound	3.168	5.279661016949153
vamp	4.24	6.319491525423729
vanity	3.9466666666666668	4.645480225988701
wrangler	4.336	5.47457627118644
deejay	5.659000000000001	4.949576271186441
loophole	4.5440000000000005	5.859237288135594
journalistic	6.058999999999999	3.807627118644068
enemy	2.1500000000000004	6.319491525423729
transcendental	6.08	6.135593220338984
smallest	3.248	3.491525423728814
moonwalk	6.05	5.363135593220339
chai	5.0	3.788135593220339
angiogram	3.9830000000000005	4.313474576271187
stride	5.365	5.19406779661017
debilitating	2.5	4.58635593220339
recant	3.777	4.991525423728813
puke	2.2359999999999998	5.139406779661018
kidnapped	1.352	8.432203389830509
madame	5.832	4.8474576271186445
know	6.970000000000001	3.4547457627118647
sophomore	5.612	3.968559322033898
ope	4.0	3.8305084745762716
laborious	4.144	5.991525423728814
forbearance	5.16	4.601694915254238
skater	6.112	5.559745762711865
stutter	2.975	4.532372881355933
vandalism	1.782	6.4705932203389835
numerous	5.663	3.9577118644067797
crumble	3.957	4.338983050847458
rainstorm	4.943	5.052033898305085
temper	4.977	5.394915254237288
custodian	4.771	4.288389830508475
term	5.085	3.1855932203389834
heath	7.416	3.889830508474576
aberrant	2.168	7.093220338983052
symbolic	6.42	3.8064406779661017
grand	7.232000000000001	5.3156779661016955
awakening	6.6850000000000005	4.758728813559323
actual	6.526	3.375
misunderstand	3.2329999999999997	5.172118644067797
whack	3.4459999999999997	5.61771186440678
cent	4.941000000000001	3.7401694915254238
orthodontist	4.566	5.361016949152543
centipede	3.6590000000000003	4.405762711864407
conspiracy	2.71	6.509830508474577
divest	3.92	5.2457627118644075
black snake	2.216	6.829152542372881
barrel	4.800666666666666	3.308531073446327
gemini	5.248	3.3220338983050848
cock	4.696999999999999	5.556440677966102
consume	4.948	4.932203389830509
carnivorous	3.6559999999999997	5.142542372881357
citizenship	7.263999999999999	4.806949152542373
programmer	5.273	3.905169491525424
listing	5.087	2.911864406779661
fig	5.407	4.067627118644068
repayment	4.832	4.76271186440678
motherfucker	1.7930000000000001	7.474322033898305
spool	4.943	3.6383898305084745
flashback	4.0600000000000005	4.355
brackets	5.584	2.991525423728814
stupidity	2.0949999999999998	4.326271186440678
fallible	3.92	5.161016949152543
linguini	5.725	3.78228813559322
surf	6.913	5.8443220338983055
microbiology	5.5680000000000005	3.813559322033898
inconspicuous	5.441	2.986864406779661
illiterate	2.745	4.252372881355932
threat	2.355	7.255338983050848
asap	5.5680000000000005	4.8474576271186445
composition	6.32	3.733898305084746
sheltered	5.62	3.7416949152542376
hologram	6.07	4.373474576271187
cretin	3.795	4.630423728813559
caloric	3.616	4.703389830508475
aerospace	5.9670000000000005	4.768474576271187
replace	4.948	4.213474576271187
stapler	4.605	3.0687288135593223
gloomy	2.503	3.702372881355932
reminiscent	5.555	4.153220338983051
exodus	3.959	5.339406779661017
formed	6.247999999999999	2.915254237288136
perfume	6.753333333333333	4.646723163841808
bobsled	6.168	5.187542372881357
finesse	6.46	3.8749152542372878
hoard	4.3740000000000006	4.4608474576271195
singularly	5.5680000000000005	3.406779661016949
rude	2.0093333333333336	6.1925988700564965
flaunt	4.446999999999999	4.96906779661017
bucko	4.646000000000001	3.8930508474576273
satisfaction	7.846	4.594237288135593
bum	3.444	4.411101694915255
symbiotic	6.678000000000001	4.130932203389831
investigator	5.4350000000000005	4.636864406779662
shading	4.359999999999999	3.3559322033898304
sports	7.664	6.398305084745763
impression	6.236000000000001	4.5952542372881355
inlet	5.869	3.281779661016949
infinitely	6.504	6.059322033898305
optimist	7.595000000000001	4.803983050847458
burlap	4.432	4.52542372881356
wanker	3.32	5.432203389830509
specialize	6.718999999999999	4.978220338983051
demanding	4.168	6.966101694915254
hazy	4.195	3.5048305084745763
vibratory	5.336	6.4576271186440675
dude	6.691000000000001	3.718559322033898
impeccable	6.782	4.312881355932204
sharpened	5.584	6.093220338983052
ditto	5.046	4.0262711864406775
bacterium	2.5519999999999996	5.228813559322035
studded	4.168	4.101694915254238
turnaround	5.515000000000001	4.791271186440678
notably	7.336	5.127118644067797
botanical	6.025	3.027542372881356
understanding	7.529999999999999	3.138220338983051
sensible	6.37	4.088813559322034
limestone	5.433	3.088728813559322
taxed	3.04	4.474576271186441
notready	2.064	4.0
applaud	7.3100000000000005	6.321610169491526
nursery	6.660666666666667	4.126949152542373
exemplar	7.752000000000001	5.161016949152543
possum	4.002	4.300847457627119
collagen	4.7940000000000005	3.243220338983051
enchanting	7.568	5.970677966101695
swab	4.73	3.127457627118644
gawk	3.6639999999999997	4.610169491525425
moderate disgust	2.832	5.338983050847458
rob	1.998	6.634406779661017
polish	5.916	3.730847457627119
hilarity	6.96	4.677966101694915
chagrined	1.896	6.923728813559323
confessional	4.6419999999999995	4.141101694915254
scurvy	3.260666666666667	4.805141242937853
permission	5.518	3.6228813559322033
worldwide	7.32	4.52542372881356
bogey	3.81	4.934237288135593
adage	5.343	3.7535593220338983
sweetened	8.52	4.516949152542373
clandestine	5.035	5.148728813559323
beauty	7.712000000000001	5.178305084745762
billionaire	6.724	6.50635593220339
trickster	3.895	5.871440677966103
devolve	3.9360000000000004	4.228813559322035
nudie	4.75	5.546610169491526
bitty	4.9559999999999995	3.2533898305084747
authorized	7.08	4.491525423728813
